R1,R2,R3,R4
4.884155775,0.038226677,0.728643301,37.84666229
5.380379234,0.049680541,0.718388741,45.34069317
3.190469648,0.036736464,0.56366803,36.6328505
4.553831448,0.03623814,0.589387804,40.32307188
5.804441171,0.051983415,0.708269247,48.55857941
4.623966964,0.039496369,0.548010181,43.07465921
4.037032333,0.035071138,0.49360431,42.48059375
5.295627959,0.041791277,0.554180348,46.98815891
5.52264876,0.033628463,0.546150658,44.49791573
5.108883307,0.036079446,0.510590861,46.93870878
4.365621851,0.036547384,0.443628535,44.85071481
4.326397796,0.042158307,0.483591888,40.75140962
3.453786664,0.042287471,0.393317122,41.77695131
5.013222588,0.036411477,0.424605229,44.71289226
4.425660043,0.035128997,0.491505943,47.99627727
4.479632215,0.035943617,0.347765337,40.99818325
4.805470447,0.0310117,0.427845594,41.32168288
4.560366613,0.035997048,0.411188066,44.62789416
5.404840719,0.028821181,0.51276855,47.79291377
4.663753557,0.027900297,0.446706943,42.83609383
3.444161997,0.029310959,0.392318146,37.16077778
3.804938248,0.043019176,0.526477023,41.95442387
3.999937058,0.046637078,0.4349266,38.96726174
4.189602198,0.034538648,0.412543113,39.1948846
4.058606014,0.030230103,0.442563591,45.43019865
3.820279014,0.028403506,0.422129822,37.76818793
4.879805681,0.034127803,0.520029386,45.59290061
4.071180301,0.034173321,0.411923503,36.90339583
5.35304901,0.028412697,0.549982472,46.82552099
4.670336023,0.031630246,0.481357429,42.55426287
3.865011099,0.038922892,0.553874219,44.88709956
4.503698369,0.028500396,0.548405248,44.93018961
4.357925181,0.032898626,0.445680317,40.92608189
3.92175549,0.021381147,0.385707826,38.40836304
3.864273528,0.025784836,0.544390031,45.0310804
4.689421282,0.036213147,0.564574595,46.16214445
4.338458078,0.034013964,0.50122461,44.47427604
4.246651597,0.030524765,0.498895974,42.6791637
4.784638439,0.030605326,0.493242129,46.34495816
10.03315546,0.28049965,2.808789452,78.84126224
10.09165288,0.182820688,2.15015166,113.5044428
9.774613898,0.141914864,1.97257944,110.7411323
8.644147653,0.117785938,1.758114603,113.9444813
10.5053587,0.129830549,1.770813623,117.1371451
6.892585353,0.135425969,1.698005035,123.3450899
9.536232917,0.157169055,1.936026768,134.272278
9.780211561,0.143582293,1.737944576,135.6191775
9.695981955,0.154229387,1.785996818,132.7002408
8.338868144,0.114473113,1.549651445,142.1309067
11.52467868,0.125922758,1.807289971,134.9092353
9.930628607,0.139500355,1.419562122,124.0169741
9.474874576,0.118582948,1.515693014,123.7090215
8.350362977,0.129789754,1.398123526,126.0077588
6.759673213,0.127217741,1.425604426,112.5960587
11.35294891,0.117462229,1.464465739,138.3566489
10.57867151,0.137861218,1.495332085,134.8469102
5.760045762,0.108148524,1.146988862,120.79818
9.243121713,0.098444865,1.360546754,127.4262893
7.787862871,0.135324017,1.325693711,142.18179
7.792305309,0.113115862,1.338803586,124.6828623
6.972442035,0.112982022,1.209257017,138.5401642
6.966597489,0.110407467,1.054907965,118.2341836
9.18026543,0.122917468,1.040358778,119.9918738
5.615706892,0.112841489,0.944401057,97.45995433
6.078800758,0.112426515,1.006109025,126.0604045
9.978632243,0.121218403,1.170430287,124.4314763
9.686103418,0.121419437,1.018014837,116.4700231
7.248346662,0.132040279,1.089002069,109.8801782
9.732888736,0.138365202,1.204230896,136.4638418
6.8490277,0.108312021,0.964674987,104.8652888
9.118757374,0.131673155,1.125186087,134.2201764
6.990935168,0.145104114,1.125253583,119.4278001
8.88044129,0.155996326,1.037062204,130.619574
9.996463056,0.168768148,1.174120996,126.909454
10.228352,0.126165001,1.003610517,124.50682
7.615044501,0.125441879,0.87979338,106.5758446
8.412243034,0.175889038,1.077700564,126.8392188
6.23653888,0.110737521,0.815992345,88.14344645
7.650780237,0.167360222,0.972839221,123.1491654
14.50315967,0.536027178,3.489098316,169.2411765
15.39823533,0.383737581,2.686245438,220.7878614
9.450217786,0.369285104,2.034592976,180.0963332
15.08410175,0.327543978,2.130584617,223.318431
9.792426175,0.324023922,1.904672868,195.1526659
20.56243838,0.361927029,2.372993324,265.827293
12.78586411,0.309507023,1.687583761,202.352919
8.341849944,0.240325092,1.370169716,200.5516994
6.50168032,0.278624286,1.237599077,172.2774359
11.31523187,0.290972571,1.527150467,213.848394
12.91095536,0.336652985,2.022363705,239.4699226
17.18421016,0.322627085,2.157252225,286.3842522
11.89950097,0.325587554,1.896656616,235.3723471
9.287671589,0.311498808,1.756366638,248.1719914
13.11389311,0.325749697,1.833778829,240.4028612
10.94817038,0.283364818,1.501799745,230.9483918
12.31459693,0.355513975,1.74277877,240.0231073
17.11284898,0.345644089,1.859753555,283.6653221
15.02114527,0.319973229,1.803123998,254.6403808
10.63128987,0.298263255,1.326444549,232.756095
11.056097,0.3392393,1.534381222,224.3727433
14.34075692,0.363729446,1.575476632,268.9906403
5.687085946,0.274931898,1.056129368,178.764488
18.16177529,0.351659194,1.464865026,260.1415226
9.544578513,0.297259761,1.256917187,221.4265138
12.11155027,0.346759564,1.434969757,243.9870402
6.856557823,0.348305281,1.193334296,223.1405815
13.51254671,0.326599716,1.445177331,254.9676839
12.83084101,0.319504982,1.387945038,227.7953305
9.62266043,0.301376513,1.19276347,235.85185
12.77509367,0.28937819,1.353936808,230.5992824
14.82295518,0.283795739,1.248820304,240.2422617
5.61893547,0.283959056,1.204073742,215.987639
17.27502203,0.244474143,1.213183734,220.9240189
10.51521167,0.314577093,1.322055244,219.3970567
7.390336758,0.295833861,1.124801174,221.5779768
9.087059333,0.345635636,1.18126996,218.1399752
11.52201395,0.27449849,1.191208544,231.1421983
13.2843756,0.271967599,1.399411811,224.8097784
12.73780688,0.293090963,1.154226405,211.0724766
1.106050899,0.158721759,0.316519974,0.230555207
17.5032952,1.799063122,6.34011713,402.186222
29.02654144,0.62316449,2.950599273,391.4855602
32.29649676,0.884800085,4.510442643,483.6198595
33.88475389,0.941469987,4.728191095,523.8489898
22.91096967,0.582651653,2.703100142,351.5070434
23.39440321,0.771173642,2.60418904,494.4924988
7.538586746,0.528414103,1.972621578,340.4097874
26.60267729,0.580282836,1.616116959,424.4241185
9.297114903,0.593297964,2.014574112,379.0859714
16.68316159,0.503469464,1.372250152,367.2614459
12.29788243,0.660014443,2.159245181,428.5226813
23.44585778,0.634682061,1.882073199,454.7075108
6.745903158,0.530135459,1.569110466,366.7045159
17.15856743,0.45205383,1.30862297,352.5934102
6.39994283,0.396671281,1.519244825,313.8147833
5.152117671,0.451019161,0.939326826,293.1482882
6.720823728,0.413453893,1.266757718,289.3766454
17.81461469,0.504382704,1.316625631,397.8386276
9.981077013,0.516654456,1.639777222,396.903107
26.72581328,0.576435975,1.697991485,469.1329552
7.28751285,0.479449189,1.309404009,339.3529198
28.50274807,0.452620884,1.352886932,425.0159964
14.96337407,0.575972146,1.972281154,429.1146993
